link
https://store.steampowered.com/app/2322010/God_of_War_Ragnark
https://store.steampowered.com/app/1245620/ELDEN_RING
https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition
https://store.steampowered.com/app/3287520/NINJA_GAIDEN_2_Black
https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN
https://store.steampowered.com/app/2627260/NINJA_GAIDEN_4
